version,time,explained_variance_score,r2_score,mean_squared_error,mean_absolute_error
ce5fada305ab253657808250daf73d1a10215fb5,0.025130,0.500162,0.500160,4.093351,1.571050
141a74bba6bb7284ec14f1b09bfceb577d633616,0.036855,0.500162,0.500160,4.093351,1.571050
3531c6095f4f9edc4364bdcc8de5ba4679195e5e,0.037764,0.500162,0.500160,4.093351,1.571050
438701639db55d88866d53757985645eb920e511,0.004929,0.500162,0.500160,4.093351,1.571050
28765fca8075b12a97f49725f8a33f7530226d75,0.022525,0.500162,0.500160,4.093351,1.571050
c0bdb51daa15eaf2f2bb78b6526272667650e97d,0.030444,0.500162,0.500160,4.093351,1.571050
44526cf6d39b54981c0ddf4e555d4621169acbd4,0.119997,0.500162,0.500160,4.093351,1.571050
66f977ae22f00ac32a2af1a070b7cc9f2c3fd72b,0.006147,0.500162,0.500160,4.093351,1.571050
a7cdbfe031fcd17ea41b68f9ff508c86726f432d,0.030001,0.500162,0.500160,4.093351,1.571050
95fb92b6e47674707b353bc1dfce4b60f6ad3585,0.050896,0.500162,0.500160,4.093351,1.571050
10a056f71b6f7bc4b0e0ae1fb60fba50e3b7fe93,0.018143,0.500162,0.500160,4.093351,1.571050
e72e38bd3f870a216204bf4465d4f9786d601d39,0.015059,0.500162,0.500160,4.093351,1.571050
249a96bc968d0e7f9e719fd7ed53656f53fa1fa4,0.053180,0.500162,0.500160,4.093351,1.571050
8c31b793c5a8858c1daebe0f237c810a86e724aa,0.029521,0.500162,0.500160,4.093351,1.571050
7ac6c9b3ac78e590084fb078b3fab6254a6b0db7,0.041296,0.500162,0.500160,4.093351,1.571050
8d4b9d68a37db4c4a35646c7300f933ea9e8108a,0.038226,0.500162,0.500160,4.093351,1.571050
6ea24c7f0091bd27a327bd32cfe0f4a58d065254,0.038698,0.500162,0.500160,4.093351,1.571050
